gold_label	sentence1	sentence2
Support	2 children bouncing up and down on a trampoline.	The two kids use the trampoline for exercise.
Neutral	2 children bouncing up and down on a trampoline.	Most kids like to jump on a trampoline.
Invalidate	Biker jumping off a ramp in the forest.	The biker gets some food at the snack bar.
Support	Biker jumping off a ramp in the forest.	The biker leaps as high as he can.
Neutral	Biker jumping off a ramp in the forest.	Some people see ramp jumping as dangerous.
Invalidate	Three men are standing outside a building looking down towards the ground.	Three men go to their home.
Support	Three men are standing outside a building looking down towards the ground.	While looking down
Neutral	Three men are standing outside a building looking down towards the ground.	When three people meet
Invalidate	People walk down a flight of stone steps in public.	the people start running home beacuse of the storm
Support	People walk down a flight of stone steps in public.	many people are walking in the city center thanks to the sunny day
Neutral	People walk down a flight of stone steps in public.	all the shops are open and the people crowded in the streets
Invalidate	A person in jeans and a t-shirt is enjoying spending time in a small garden outside.	The man goes inside for lunch.
Support	A person in jeans and a t-shirt is enjoying spending time in a small garden outside.	The man waters the seeds he planted.
Neutral	A person in jeans and a t-shirt is enjoying spending time in a small garden outside.	Small gardens provide a ready source of fresh herbs.
Invalidate	Two glassblowers are crafting a bottle in a glass blowing studio.	They are visiting the workshop of another artisan like them in another city.
Support	Two glassblowers are crafting a bottle in a glass blowing studio.	They are paying attention on the temperature of the glass heated up by the flame.
Neutral	Two glassblowers are crafting a bottle in a glass blowing studio.	The art of glassblowing is popular and attracts many buyers.
Invalidate	Four people looking at large advertisements outside.	Four people walking on the road
Support	Four people looking at large advertisements outside.	that board is about a new car
Neutral	Four people looking at large advertisements outside.	that board was outside the subway station
Invalidate	A person playing drums while another person sings with a microphone in hand.	The concert had finished and the performers have left.
Support	A person playing drums while another person sings with a microphone in hand.	They harmonize with one another beautifully.
Neutral	A person playing drums while another person sings with a microphone in hand.	Music is entertainment for all ages.
Invalidate	A football runner crosses the goal line while being tackled.	The football runner is sitting on the bench
Support	A football runner crosses the goal line while being tackled.	It is taking 3 players to tackle the player
Neutral	A football runner crosses the goal line while being tackled.	A football runner has to lift a lot of weights
Invalidate	A woman is showing her little boy a rooster in a cage.	he enjoyed the visit to the farm so much he is drawing a picture of the animals
Support	A woman is showing her little boy a rooster in a cage.	The rooster is trying in vain to get out of the cage and the boy asks if he can be let out.
Neutral	A woman is showing her little boy a rooster in a cage.	All boys must learn at some point that roosters do not lay eggs.
Invalidate	A white person is taking a picture on a digital camera while lying in the snow.	a person felt tired and he go back to the hotel to take a rest
Support	A white person is taking a picture on a digital camera while lying in the snow.	a man fallen in the snow and he got hird.all people come to see what going on .
Neutral	A white person is taking a picture on a digital camera while lying in the snow.	people like to take a lot of pictures in the snow.
Invalidate	A man in white socks and blue shirt stops on a bike near a large wall made of wood.	A man is driving his car to work.
Support	A man in white socks and blue shirt stops on a bike near a large wall made of wood.	the man stopping there in order to wait his friend
Neutral	A man in white socks and blue shirt stops on a bike near a large wall made of wood.	it is a perfect day for a ride
